Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
915	P06	184.991		0.24	1	 2.07347	 2.12798	 2.23232	 0.487897	  0.7	-0.0794228	-0.0249120	0.822
916	P06	185.991		0.23	1	 2.06541	 2.13439	 2.22815	 0.487973	  0.7	-0.0813695	-0.0123883	0.808
917	P06	186.991		0.23	1	 2.05743	 2.14100	 2.22357	 0.488013	  0.6	-0.0830679	 0.000501261	0.799
918	P06	187.991		0.23	1	 2.04981	 2.14756	 2.21875	 0.488020	  0.6	-0.0844653	 0.0132809	0.795
919	P06	188.991		0.23	1	 2.04283	 2.15382	 2.21386	 0.488001	  0.6	-0.0855140	 0.0254770	0.796
920	P06	189.991		0.23	1	 2.03673	 2.15956	 2.20908	 0.487963	  0.7	-0.0861748	 0.0366590	0.802
921	P06	190.991		0.24	1	 2.03170	 2.16460	 2.20454	 0.487914	  0.7	-0.0864187	 0.0464744	0.813
922	P06	191.991		0.24	1	 2.02789	 2.16879	 2.20035	 0.487866	  0.7	-0.0862286	 0.0546714	0.829
923	P06	192.991		0.24	1	 2.02537	 2.17208	 2.19657	 0.487825	  0.7	-0.0855997	 0.0611076	0.849
924	P06	193.991		0.25	1	 2.02416	 2.17444	 2.19323	 0.487800	  0.7	-0.0845395	 0.0657474	0.875
925	P06	194.991		0.25	1	 2.02421	 2.17592	 2.19034	 0.487796	  0.7	-0.0830672	 0.0686488	0.905
926	P06	195.991		0.24	1	 2.02543	 2.17659	 2.18786	 0.487816	  0.7	-0.0812122	 0.0699443	0.941
927	P06	196.991		0.24	1	 2.02772	 2.17655	 2.18574	 0.487862	  0.7	-0.0790131	 0.0698190	0.982
928	P06	197.352	E35M49-332	0.24	1	 2.02877	 2.17638	 2.18506	 0.487885	  0.7	-0.0781433	 0.0694661	0.998
